"","bailleurs","secteurs","residence"
"3","BONDY HABITAT","Secteur Terre-Saint Blaise/Noue Caillet","Léon Blum"
"4","BONDY HABITAT","Secteur Terre-Saint Blaise/Noue Caillet","Versailles"
"5","BONDY HABITAT","Secteur Terre-Saint Blaise/Noue Caillet","Jean Lebas"
"6","BONDY HABITAT","Secteur Terre-Saint Blaise/Noue Caillet","Germaine Tillion"
"7","BONDY HABITAT","Secteur Terre-Saint Blaise/Noue Caillet","Suzanne Buisson"
"8","BONDY HABITAT","Secteur Centre Ville/Gare","Moulin"
"10","BONDY HABITAT","Secteur Centre Ville/Gare","Lamartine"
"11","BONDY HABITAT","Secteur Centre Ville/Gare","Guesde"
"12","BONDY HABITAT","Secteur Centre Ville/Gare","Le Potager"
"13","BONDY HABITAT","Secteur Centre Ville/Gare","Albert Thomas"
"14","BONDY HABITAT","Secteur Centre Ville/Gare","Furci"
"15","BONDY HABITAT","Secteur La Mare a la Veuve","Egalité"
"17","BONDY HABITAT","Secteur La Mare a la Veuve","Salengro"
"18","BONDY HABITAT","Secteur Fosse de la Regale Secteur La Mare a la Veuve","Bobillot"
"20","BONDY HABITAT","Secteur Fosse de la Regale Secteur La Mare a la Veuve","Résidence du Levant"
"21","BONDY HABITAT","Secteur de Lattre de Tassigny","Moleret"
"23","BONDY HABITAT","Secteur de Lattre de Tassigny","Résidence de ’Ourcq"
"24","BONDY HABITAT","Secteur de Lattre de Tassigny","De Lattre"
"25","BONDY HABITAT","Secteur de Lattre de Tassigny","Cité des Fleurs et du stade"
"26","BONDY HABITAT","Secteur Blanqui","Polissard"
"28","BONDY HABITAT","Secteur Blanqui","Carnot"
"29","BONDY HABITAT","Secteur Blanqui","Apollinaire"
"30","BONDY HABITAT","Secteur Blanqui","Blanqui"
"31","BONDY HABITAT","Secteur Blanqui","Eluard"
"32","BONDY HABITAT","Secteur Blanqui","Beauvoir"
"33","BONDY HABITAT","Secteur Blanqui","Simone de Beauvoir"
"34","BONDY HABITAT","Secteur Blanqui","Blanqui bis"
"35","BONDY HABITAT","Secteur Blanqui","Dunant"
"36","BONDY HABITAT","Secteur Blanqui","Martin Luther King"
"37","BONDY HABITAT","Secteur Blanqui","- Répertoire du parc HLM - Aofit - Etude Patrimoniale"
"38","BONDY HABITAT","Secteur Fosse de la Regale",""
"40","BONDY HABITAT","Secteur Fosse de la Regale","Lyssandre"
"41","BONDY HABITAT","Secteur Fosse de la Regale","Neuburger"
"44","3F IMMOBILIER","Secteur Noue Caillet/Terre Saint Blaise","Terre saint Blaise"
"45","3F IMMOBILIER","Secteur Merisiers/14 Juillet","Varagnat"
"47","3F IMMOBILIER","Secteur Merisiers/14 Juillet","Baudelaire/Villon"
"48","3F IMMOBILIER","Secteur Merisiers/14 Juillet","14 Juillet"
"49","3F IMMOBILIER","Secteur Centre Ville/Gare","Fontaine"
"51","3F IMMOBILIER","Secteur Centre Ville/Gare","Guesde"
"52","3F IMMOBILIER","Secteur la Remise a Jorelle j","Liberté"
"54","3F IMMOBILIER","Secteur la Remise a Jorelle j","La Bondynoise j"
"55","3F IMMOBILIER","Secteur Blanqui","‘ Edouard Vaillant"
"57","3F IMMOBILIER","Secteur Blanqui","Henri Barbusse"
"58","3F IMMOBILIER","Secteur Blanqui","Henri Barbusse"
"59","3F IMMOBILIER","Secteur Fosse de la Régale/Lyssandre","Gaston Deferre"
"61","3F IMMOBILIER","Secteur Fosse de la Régale/Lyssandre","49"
"62","3F IMMOBILIER","Secteur Fosse de la Régale/Lyssandre","Cos Résiduel"
"65","ICF LA SABLIERE","Secteur Fosse de la Régale/Lyssandre","Polissard"
"67","ICF LA SABLIERE","Secteur la Remise a Jorelle","Blanqui"
"69","ICF LA SABLIERE","Secteur la Remise a Jorelle","Villemomble"
"72","OFFICE PUBLIQUE DEPARTEMENTALE DE SEINE SAINT DENIS","Secteur Noue Caillet/Terre Saint Blaise","Raymond Aubrac"
"73","OFFICE PUBLIQUE DEPARTEMENTALE DE SEINE SAINT DENIS","Secteur Noue Caillet/Terre Saint Blaise","Noue Caillet"
"74","OFFICE PUBLIQUE DEPARTEMENTALE DE SEINE SAINT DENIS","Secteur Noue Caillet/Terre Saint Blaise","Répertoire du parc HLM - Aoiit - Etude Patrimoniale"
"75","OFFICE PUBLIQUE DEPARTEMENTALE DE SEINE SAINT DENIS","Secteur Noue Caillet/Terre Saint Blaise",""
"78","ANTIN RESIDENCE","Secteur Centre ville/Gare","Guesde"
"79","ANTIN RESIDENCE","Secteur la Remise a Jorelle -","Salengro"
"81","ANTIN RESIDENCE","Secteur la Remise a Jorelle -","Résidence Gabrielle"
"82","ANTIN RESIDENCE","Secteur Merisiers/14 Juillet","IRP"
"84","ANTIN RESIDENCE","Secteur Merisiers/14 Juillet","La Résidence Maurice Benhamou - Varagnat"
"87","BATIGERE","Secteur Centre ville/Gare","Jean Jaurés"
"88","BATIGERE","Secteur Centre ville/Gare","République"
"91","OSICA","Secteur Centre ville/Gare","Résidence du Breuil"
"94","LOGIS TRANSPORTS","Secteur Merisiers/14 Juillet","\ La Résidence Maurice Benhamou"
"97","ESPACE HABITAT","Secteur La Mare a la Veuve","Résidence l’Europe"
"100","SOFILOGIS","Secteur Fosse de la Regale","Guesde"
"102","SOFILOGIS","Secteur Fosse de la Regale","Résidence Rendez-Vous"
"103","SOFILOGIS","Secteur Fosse de la Regale","Répertoire du parc HLM - Aout - Etude Patrimoniale"
"104","SOFILOGIS","Secteur Fosse de la Regale",""
"107","EFIDIS ","Secteur De Lattre de Tassigny","Résidence des Cerises"
"110","FRANCE HABITATION","Secteur la Remise a Jorelle","Résidence des arts"
