"fid","categorie","Catégories.de.point.dinterêt","Title","Position_address","etik"
89,"Services publics","Services municipaux","Accueil famille","Esplanade Claude Fuzier 93140 BONDY","Mairie"
151,"Action sociale","Action sociale|Enfance","Aide sociale à l'enfance",,"ASE"
25,"École","Etablissements scolaires","Aimé Césaire élémentaire","8, rue de la Terre Saint Blaise","AC"
30,"École","Etablissements scolaires","Alain Savary maternelle","21, rue du Vieux Moulin 93140 BONDY","AS"
47,"Éducation","Enfance|Loisirs","Albert Camus centre de loisirs","Rue Jean Moulin 93140 BONDY","AC"
23,"École","Etablissements scolaires","Albert Camus élémentaire","34, avenue Jean Moulin 93140 BONDY","AC"
33,"École","Etablissements scolaires","André Boulloche élémentaire","4, rue de la Terre-Saint-Blaise 93140 BONDY","AB"
136,"École","Etablissements scolaires","Apollinaire primaire",,"A"
101,"Sport","Equipements sportifs","AS Bondy Judo (Dojo)","135, avenue Henri Barbusse 93140 BONDY","Dojo"
15,"Culture","Culture","Auditorium Angèle et Roger Tribouilloy","75, avenue Henri Barbusse 93140 BONDY","Auditorium"
18,"Culture","Culture","Bibliothèque Denis Diderot","23, rue Roger Salengro 93140 BONDY","Bibliothèque"
79,"Environnement","Environnement","Bois de Bondy",,"Bois de Bondy"
65,"Éducation","Jeunesse|Services municipaux","Bureau Information Jeunesse (BIJ)","1, avenue Jean Lebas 93140 BONDY","MQC"
63,"Éducation","Petite enfance","Cabane des petits","151, rue Edouard Vaillant 93140 BONDY","crèche"
58,"Éducation","Enfance|Loisirs interne","Camille Claudel centre de loisirs","Rue Pierre Brossolette 93140 BONDY","CC"
27,"École","Etablissements scolaires","Camille Claudel primaire","Rue Pierre Brossollette 93140 BONDY","CC"
96,"Services publics","Services non municipaux","Caserne des pompiers","8, Avenue de Verdun 93140 BONDY","Pompiers"
6,"Action sociale","Action sociale|Séniors","CCAS","47/51, rue Louis-Auguste Blanqui 93140 BONDY","CCAS"
152,"Sport","terrain","Cecifoot",,"cecifoot"
153,"Sport","terrain","Cecifoot",,"cecifoot"
43,"Éducation","Enfance|Loisirs","Centre de loisirs Edouard Vaillant (élémentaire)","153, rue Edouard Vaillant 93140 BONDY","EV"
57,"Éducation","Enfance|Loisirs","Centre de loisirs Jacques Prévert (élémentaire)","Rue du Sergent Bobillot 93140 BONDY","JP"
48,"Éducation","Enfance|Loisirs","Centre de loisirs St Exupéry (mater et élém)","8, rue de la Terre Saint-Blaise","SE"
83,"Santé","Santé","Centre de soins Ambroise Paré","2, avenue Jean Moulin, 93140 BONDY","A. Paré"
86,"Santé","Santé","Centre Médico-psychologique Adultes","86, avenue Gallieni 93140 BONDY","CMP"
178,"Services publics","Services municipaux","Centre Technique Municipal",,"CTM"
93,"Services publics","Services municipaux","Chalet des écogardes",,"Ecogardes"
91,"Services publics","Services municipaux","Cimetière","18, Avenue Henri Barbusse 93140 BONDY","Cimetière"
171,"Services publics","Services municipaux","Cimetière intercommunal",,"Cimetière"
114,"Culture","Culture","Cinéma André Malraux","25, cours de la République, 93140 BONDY","Cinéma"
112,"Sport","terrain","City stade Aubrac",,"city stade"
158,"Sport","terrain","city stade Claudel ?",,"city stade"
132,"Sport","terrain","City stade Djamel Kelfaoui",,"city stade DK"
148,"Sport","terrain","City stade Jules Guesde",,"city stade"
108,"Sport","terrain","City stade Mbappé",,"Mb"
113,"Sport","terrain","City stade Noue Caillet",,"city stade"
154,"Sport","terrain","City stade Pierre Curie",,"city stade"
107,"Sport","Equipements sportifs","Club Tennis Maurice Petit Jean","137, avenue Henri Barbusse 93140 BONDY","Petit Jean"
88,"Santé","Santé","CMS","38 avenue de la République 93140 BONDY","CMS"
164,"École","Collège","Collège Jean Zay",,"JZ"
166,"École","Collège Lycée","Collège Lycée Jean Renoir",,"JR"
167,"École","Collège","Collège Pierre Curie",,"PC"
110,"Sport","Equipements sportifs","Complexe sportif Léo Lagrange","60, avenue Pasteur 93140 BONDY","Stade"
122,"Culture","Culture","Conservatoire","23 bis rue Roger Salengro 93140 BONDY","Conservatoire"
60,"Éducation","Petite enfance","Crèche départementale Léon Blum","20, avenue Léon Blum 93140 BONDY","crèche dpt"
66,"Éducation","Petite enfance","Crèche départementale Lucie Aubrac","20, rue Lucie Aubrac 93140 BONDY","crèche dpt"
56,"Éducation","Petite enfance","Crèche municipal Arc en Ciel","43, avenue de Verdun 93140 BONDY","crèche"
73,"Environnement","Propreté","Déchèterie de Bondy","85, avenue du 14 Juillet 93140 BONDY","déchèterie"
40,"École","Etablissements scolaires","École du Stade",,"S"
12,"Culte","Culte","Église du Christ Ressucité","avenue Suzanne Buisson
93140 Bondy","Eglise"
188,"Culte","Culte","Eglise orthodoxe",,"Eglise"
129,"Culte","Culte","Église Saint Louis",,"Eglise"
173,"Culte","Culte","Eglise Saint Pierre",,"Eglise"
7,"Action sociale","Seniors","Ehpad  Korian Bonisiaca","5, rue René Char 93140 BONDY","Ehpad"
8,"Action sociale","Seniors","Ehpad Arthur Groussier","6 avenue Marx Dormoy 93140 BONDY","Ehpad"
84,"Santé","Santé","EPS Ville Evrard",,"Ville Evrard"
184,"Action sociale","Action sociale","Espace Mandela",,"MQC Mandela"
16,"Culture","Culture","Espace Marcel Chauzy","Esplanade Claude Fuzier 93140 BONDY","Salle Municipale"
14,"Culture","Culture","Espace musique actuelle","Rue du Potager 93140 BONDY","Salle Municipale"
175,"Environnement","Environnement","Esplanade Claude Fuzier",,"Cl. Fuzier"
39,"École","Etablissements scolaires privés","Établissement Maurice Coutrot","15, avenue de Verdun","MC"
117,"Culture","Culture","Ferme Caillard","48, rue Roger Salengro","Tiers lieu"
126,"Culture","Culture","Ferme Caillard-Dilly","198, avenue de Rosny, Bondy","Tiers lieu"
138,"École","Etablissements scolaires","Ferry 2 primaire",,"JF2"
1,"Action sociale","Action sociale","France travail (ex ANPE)","14, rue de la Liberté","ANPE"
115,"Services publics","Services municipaux","Garage","32, avenue Carnot","Garage"
168,"Environnement","Transport","Gare RER Bondy",,"RER"
32,"École","Etablissements scolaires privés","Groupe scolaire privé Assomption","12, avenue de Verdun 93140 BONDY","A"
104,"Sport","Equipements sportifs","Gymnase Léo Lagrange","60 Avenue Pasteur, 93140 BONDY","gymnase"
106,"Sport","Equipements sportifs","Gymnase Pierre Curie","Rue René Char 93140 BONDY","gymnase"
105,"Sport","Equipements sportifs","Gymnase Roger Salengro","Rue du Vieux Moulin 93140 BONDY","gymnase"
160,"Sport","Equipements sportifs","Halle couverte Léo Lagrange",,"halle couverte"
50,"Éducation","Enfance|Loisirs","Henri Sellier centre de loisirs","2, rue des Cinq Ormes 93140 BONDY","JS"
137,"École","Etablissements scolaires","Henri Sellier maternelle",,"HS"
85,"Santé","Santé","Hôpital Jean-Verdier","Avenue du 14 juillet 93140 BONDY","Jean-Verdier"
127,"Éducation","Recherche","IRD","32, avenue Henri Varagnat","IRD"
21,"École","Etablissements scolaires","Jacques Bethinger élémentaire","106, rue Roger Salengro 93140 BONDY","JB"
133,"Environnement","Environnement","Jardin de la rue Pauline Roger",,"Pauline Roger"
123,"Environnement","Environnement","Jardin du bonheur",,"Bonheur"
125,"Environnement","Environnement","Jardin Terre-Saint-Blaise",,"Jardin TSB"
80,"Environnement","Environnement","Jardin Victor Hugo","Avenue Léon Blum 93140 BONDY","Victor Hugo"
38,"École","Etablissements scolaires","Jean Rostand élémentaire","136, rue Louis Auguste Blanqui 93140 BONDY","JR"
26,"École","Etablissements scolaires","Jean Zay maternelle","68, route d'Aulnay","JZ"
120,"École","Etablissements scolaires","Jules Ferry 1 élémentaire",,"JF1"
42,"Éducation","Enfance|Loisirs","Jules Ferry centre de loisirs","2, rue François Collet 93140 BONDY","JF"
172,"Services publics","Services non municipaux","La Poste",,"Poste"
36,"École","Etablissements scolaires","Léo Lagrange élémentaire","31, rue Georges Elie","LL"
139,"École","Etablissements scolaires","Léo Lagrange maternelle",,"LL"
177,"Culture","Culture","Les bains douche",,"Patrimoine"
186,"Environnement","Transport","Les coquetiers",,"Tram"
165,"École","Lycée","Lycée Madeleine Vionnet",,"MV"
118,"École","Etablissements scolaires","Mainguy Guehenno élémentaire",,"MG"
119,"École","Etablissements scolaires","Mainguy maternelle",,"M"
95,"Services publics","Services municipaux","Mairie","Esplanade Claude Fuzier 93140 BONDY","Mairie"
62,"Éducation","Petite enfance","Maison de la petite enfance",,"crèche"
3,"Action sociale","Action sociale","Maison de quartier et de la citoyenneté Brassens","19, avenue Henri Barbusse 93140 BONDY","MQC Brassens"
162,"Action sociale","Action sociale","Maison de quartier et de la citoyenneté Brassens","19, avenue Henri Barbusse 93140 BONDY","MQC Brassens"
4,"Action sociale","Action sociale","Maison de quartier et de la citoyenneté Daniel Balavoine","18, avenue Léon Blum, 93140 BONDY","MQC Balavoine"
2,"Action sociale","Action sociale","Maison de quartier et de la citoyenneté Sohane","162/164, route de Villemomble 93140 BONDY","MQC Sohane"
64,"Éducation","Jeunesse","Maison France Services","1, avenue Jean Lebas 93140 BONDY","MQC"
9,"Commerce","Commerce","Marché Suzanne Buisson","Avenue Suzanne Buisson","Marché"
140,"École","Etablissements scolaires","Marie Curie élémentaire",,"MC"
54,"Éducation","Enfance|Loisirs","Michel Farnolle centre de loisirs","9/13, avenue Marx Dormoy 93140 BONDY","MF"
17,"Culture","Culture","Micro-Folie","11, Avenue Henri Varagnat","Micro-Folie"
130,"Culture","Culture","Miroiterie","129, rue Edouard Vaillant","Tiers lieu"
53,"Éducation","Jeunesse|Services municipaux","Mission locale","29, avenue Jules Guesde 93140 BONDY","Insertion"
10,"Culte","Culte","Mosquée","58 Chemin de Groslay 93140 BONDY","Mosquée"
55,"Éducation","Petite enfance","Multi-Accueil La Ronde des Enfants","43, avenue de Verdun 93140 BONDY","crèche"
61,"Éducation","Petite enfance","Multi-Accueil La Ronde des Enfants",,"crèche"
35,"École","Etablissements scolaires","Noue Caillet élémentaire","avenue Jean Moulin","NC"
24,"École","Etablissements scolaires","Noue Caillet maternelle","Avenue Jean Moulin 93140 BONDY","NC"
52,"Éducation","Enfance|Loisirs","Olympe de Gouges centre de loisirs","Rue Maurice Benhamou 93140 BONDY","OG"
19,"École","Etablissements scolaires","Olympe de Gouges primaire","1/7, avenue Maurice Benhamou 93140 BONDY","OG"
100,"Sport","Equipements sportifs","Palais des sports","4, avenue Marx Dormoy 93140 BONDY","Palais des sports"
76,"Environnement","Environnement","Parc de la Mare à la Veuve Honorine de Beauvais","Rue de Metz 93140 BONDY","Mare à la veuve"
81,"Environnement","Environnement","Parc François Mitterrand",,"F. Mitterrand"
170,"Environnement","Parking","Parking Anne Frank",,"Parking"
169,"Environnement","Parking","Parking gare",,"Parking"
41,"Éducation","Éducation","Pasteur écoles","6 rue des écoles 93140 BONDY","P"
28,"École","Etablissements scolaires","Pasteur élémentaire ","6, rue des Ecoles","P"
31,"École","Etablissements scolaires","Pasteur maternelle","2, rue des Ecoles","P"
49,"Éducation","Enfance|Loisirs interne","Petits loups centre de loisirs","Rue Edouard Vaillant 93140 BONDY","PL"
46,"Éducation","Enfance|Loisirs","Pierre Curie centre de loisirs","130 bis, route de Villemomble 93140 BONDY","PC"
141,"École","Etablissements scolaires","Pierre Curie maternelle",,"PC"
102,"Sport","Equipements sportifs","Piscine Michel Beaufort","207, avenue Galliéni 93140 BONDY","Piscine"
103,"Sport","Equipements sportifs","Piscine Tournesol","104, route de Villemomble 93140 BONDY","Piscine"
143,"Environnement","Environnement","Place Anatole France",,"Pl A. France"
157,"Environnement","parking","Place Charles de Gaulle",,"Pl De Gaulle"
69,"Environnement","Environnement","Place des marronniers","Place des marronniers","Marroniers"
144,"Environnement","Environnement","Place Edith Piaf",,"Pl E. Piaf"
155,"Environnement","Environnement","Place Mendès France",,"Pl Mendès France"
150,"Environnement","Parking","Place Nicole Neuburger",,"Pl Neuburger"
163,"Services publics","Services municipaux","Pôle Habitat Urbanisme",,"Habitat Urbanisme"
90,"Services publics","Services municipaux","Police municipale","8, Avenue Pasteur93140 BONDY","PM"
94,"Services publics","Services non municipaux","Police nationale","1, rue Gaston Defferre 93140 BONDY","Police"
181,"Voirie","Pont","Pont d'Aulnay",,"pont A"
179,"Voirie","Pont","Pont de Bondy",,"pont B"
180,"Voirie","Pont","Pont de la forêt",,"pont F"
182,"Voirie","Pont","Pont Jules Ferry",,"pont JF"
59,"Éducation","Petite enfance","Protection maternelle et infantile (PMI) - Secteur Sud","3 ter rue Gaston Defferre 93140 BONDY","PMI"
183,"Culture","Monument","Pyramide",,"Patrimoine"
187,"Services publics","Services municipaux","Régie Voirie",,"Voirie"
67,"Éducation","Petite enfance","Relais des assistantes maternelles (RAM)","47/51 rue Louis-Auguste Blanqui 93140 BONDY","RAM"
185,"Environnement","Transport","Remise à Jorelle",,"Tram"
189,"Services publics","Service municipaux","Réseau Chauffage Urbain",,"RCU"
20,"École","Etablissements scolaires","Roger Salengro élémentaire","106, rue Roger Salengro 93140 BONDY","RS"
134,"École","Etablissements scolaires","Roger Salengro maternelle",,"RS"
13,"Culture","Culture","Salle Coluche","Allée de la Paix 93140 BONDY","Salle Municipale"
109,"Sport","Equipements sportifs","Salle Omnisports André Rémond","Chemin du Pont de la Forêt 93140 BONDY","AR"
45,"Éducation","Equipements sportifs","Salle Robert Gazzi Curie","162-164, route de Villemomble 93140 BONDY","RG"
51,"Éducation","Enfance|Loisirs","Savary centre de loisirs","21, rue du Vieux Moulin 93140 BONDY","S"
44,"Éducation","Enfance|Loisirs interne","Sergent Bobillot centre de loisirs","Rue du Sergent Bobillot 93140 BONDY","SB"
98,"Services publics","Services municipaux","Service des sports","60, avenue Pasteur 93140 BONDY","Sports"
5,"Action sociale","Action sociale|Santé|Séniors","Service infirmier de maintien à domicile (SIMAD)","47/51, rue Louis-Auguste Blanqui 93140 BONDY","SIMAD"
92,"Services publics","Services municipaux","Service parcs et jardins","Avenue du quatorze juillet","Parcs et jardins"
68,"Environnement","Environnement","Square Alcacer do Sal","Rue René Dumont 93140 BONDY","Alcacer"
70,"Environnement","Environnement","Square Anne Frank",,"A. Frank"
174,"Environnement","Environnement","Square Auguste Rodin",,"A. Rodin"
142,"Environnement","Environnement","Square de la liberté",,"Liberté"
147,"Environnement","Environnement","Square de Versailles",,"Versailles"
149,"Environnement","Environnement","Square Dian Fossey",,"Dian Fossey"
77,"Environnement","Environnement","Square du 19 mars 1962",,"19 mars"
176,"Environnement","Environnement","Square du 8 mai 1945",,"8 mai"
75,"Environnement","Environnement","Square du Breuil",,"Du breuil"
78,"Environnement","Environnement","Square Edouard Bernstein",,"Berstein"
74,"Environnement","Environnement","Square Jean Lebas","Avenue Jean Moulin 93140 BONDY","J. Lebas"
82,"Environnement","Environnement","Square Maurice Benhamou",,"M. Benhamou"
161,"Environnement","Environnement","Square Pasteur",,"Pasteur"
72,"Environnement","Environnement","Square Robert Grammont","8, avenue Pasteur","R. Grammont"
71,"Environnement","Environnement","Square Rudyard Kipling",,"R. Kipling"
128,"Sport","Equipements sportifs","Stade Robert Gazzi","100, route de Villemomble 93140 BONDY","stade"
11,"Culte","Culte","Synagogue","28, Avenue de la villageoise","Synagogue"
99,"Sport","terrain","Terrain But en Or",,"But en or"
111,"Sport","terrain","Terrain Multi Sport Terre Saint Blaise",,"terrain"
34,"École","Etablissements scolaires","Terre St Blaise maternelle","2, rue de la Terre Saint Blaise","TSB"
131,"Environnement","Environnement","Théâtre de verdure",,"Théatre de verdure"
97,"Services publics","Services non municipaux","Trésorerie principale"," 5-7 Rue Arthur Rimbaud 93140 BONDY","Trésorerie"
