"","adresse","typo","niveau"
"328","22 Rue de l'Egalité","Lotissements/maisons pavillonnaires"," 2"
"329","10bis rue de Plaisance ","Lotissements/maisons pavillonnaires"," 2"
"330","18 rue de Tremeuge ","Lotissements/maisons pavillonnaires"," 2"
"331","16 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"332","guy)","Architecture administrative - équipements publics"," 2"
"333","6 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"334","8 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"335","9 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"336","10 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"337","11 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"338","12 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"339","13 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"340","14 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"341","15 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"342","17 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"343","1-5 Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"344","11bis Rue des droits de l'homme ","Lotissements/maisons pavillonnaires"," 2"
"345","4 Rue des droits de l'homme","Lotissements/maisons pavillonnaires"," 2"
"346","2 Rue des Ecoles ","Architecture scolaire"," 3"
"347","8 Rue des Limites ","Lotissements/maisons pavillonnaires"," 2"
"348","18 Rue des Limites ","Lotissements/maisons pavillonnaires"," 2"
"349","5 Rue des Peupliers ","Lotissements/maisons pavillonnaires"," 2"
"350","4 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"351","6 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"352","8 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"353","15 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"354","24 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"355","26 Rue des Peupliers","Lotissements/maisons pavillonnaires"," 2"
"356","9bis Rue Désire Léon ","Lotissements/maisons pavillonnaires"," 2"
"357","5 Rue du Bel air ","Lotissements/maisons pavillonnaires"," 2"
"358","8 Rue du Bel-air ","Lotissements/maisons pavillonnaires"," 2"
"359","9 Rue du Breuil ","Lotissements/maisons pavillonnaires"," 2"
"360","11 Rue du Breuil ","Lotissements/maisons pavillonnaires"," 2"
"361","17 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"362","18 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"363","19 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"364","20 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"365","21 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"366","26 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"367","27 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"368","29 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"369","31 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"370","32 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"371","34 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"372","35 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"373","36 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"374","38 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"375","39 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"376","40 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"377","44 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"378","45 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"379","48 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"380","49 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"381","53 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"382","54 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"383","56 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"384","57 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"385","59 Rue du Breuil","Maisons de bourg"," 2"
"386","67 Rue du Breuil","Maisons de bourg"," 2"
"387","69 Rue du Breuil","Lotissements/maisons pavillonnaires"," 2"
"388","1bis Rue du Chalet ","Lotissements/maisons pavillonnaires"," 2"
"389","5 rue du Champart ","Immeubles"," 2"
"390","6 Rue du Champart ","Lotissements/maisons pavillonnaires"," 2"
"391","8 Rue du Champart ","Lotissements/maisons pavillonnaires"," 2"
"392","23 Rue du Chemin de Fer Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"393","36 Rue du Chemin de Fer Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"394","53 Rue du Chemin de Fer Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"395","61 Rue du Chemin de Fer Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"396","63 Rue du Chemin de Fer Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"397","9 Rue du Levant ","Lotissements/maisons pavillonnaires"," 2"
"398","18 Rue du Levant ","Immeubles"," 2"
"399","30 Rue du Levant ","Lotissements/maisons pavillonnaires"," 2"
"400","44 Rue du Levant ","Lotissements/maisons pavillonnaires"," 2"
"401","3 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"402","4 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"403","6 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"404","7 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"405","8 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"406","9 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"407","10 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"408","11 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"409","12 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"410","13 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"411","14 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"412","15 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"413","16 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"414","17 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"415","19 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"416","20 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"417","21 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"418","23 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"419","25 Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"420","11bis Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"421","3bis Rue du Lion ","Lotissements/maisons pavillonnaires"," 2"
"422","11 Rue du Midi ","Lotissements/maisons pavillonnaires"," 2"
"423","26 Rue du Midi ","Lotissements/maisons pavillonnaires"," 2"
"424","49 Rue du Midi ","Lotissements/maisons pavillonnaires"," 2"
"425","50 Rue du Midi ","Lotissements/maisons pavillonnaires"," 2"
"426","7 Rue du Potager ","Lotissements/maisons pavillonnaires"," 2"
"427","8 Rue du Progrès ","Lotissements/maisons pavillonnaires"," 2"
"428","40 rue du Progrès ","Lotissements/maisons pavillonnaires"," 2"
"429","6 Rue du Sergent Bobillot ","Immeubles"," 2"
"430","14 Rue du Sergent Bobillot ","Lotissements/maisons pavillonnaires"," 2"
"431","1 Rue du Vieux Chateau ","Immeubles"," 2"
"432","4 Rue du Vieux Chateau ","Lotissements/maisons pavillonnaires"," 2"
"433","5 Rue du Vieux Chateau ","Lotissements/maisons pavillonnaires"," 2"
"434","7 Rue du Vieux Chateau ","Lotissements/maisons pavillonnaires"," 2"
"435","8 Rue du Vieux Château ","Lotissements/maisons pavillonnaires"," 2"
"436","7 Rue du vieux Moulin ","Lotissements/maisons pavillonnaires"," 2"
"437","22 Rue Edouard Vaillant ","Immeubles"," 2"
"438","3 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"439","21 Rue Edouard Vaillant ","Immeubles"," 2"
"440","23 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"441","29 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"442","31 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"443","33 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"444","34 Rue Edouard Vaillant ","Immeubles"," 2"
"445","35 Rue Edouard Vaillant ","Immeubles"," 2"
"446","37 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"447","38 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"448","40 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"449","57 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"450","61 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"451","83 rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"452","85 rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"453","91 rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"454","92 rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"455","93 rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"456","95 rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"457","125 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"458","127 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"459","131 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"460","135 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"461","161 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"462","180 rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"463","188 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"464","190 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"465","200 rue Edouard Vaillant ","Maisons de bourg"," 3"
"466","203 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"467","209 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 3"
"468","213 Rue Edouard Vaillant ","Immeubles"," 3"
"469","214 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"470","218 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"471","220 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"472","229 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"473","230 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"474","231 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"475","237 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"476","239 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"477","243 Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"478","245 Rue Edouard Vaillant ","Maisons de bourg"," 2"
"479","32bis Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"480","62bis Rue Edouard Vaillant ","Lotissements/maisons pavillonnaires"," 2"
"481","193 Rue Edouard Vaillant, ","Lotissements/maisons pavillonnaires"," 3"
"482","8 Rue Etienne Dolet ","Lotissements/maisons pavillonnaires"," 2"
"483","11 Rue Etienne Dolet ","Lotissements/maisons pavillonnaires"," 2"
"484","5bis Rue Etienne Dolet ","Architecture scolaire"," 3"
"485","25 Rue Eugène Masson ","Lotissements/maisons pavillonnaires"," 2"
"486","10 Rue Fontaine ","Lotissements/maisons pavillonnaires"," 2"
"487","20 Rue Georges Elie ","Lotissements/maisons pavillonnaires"," 2"
"488","6 Rue Georges Graff ","Lotissements/maisons pavillonnaires"," 2"
"489","12 Rue Georges Graff ","Lotissements/maisons pavillonnaires"," 2"
"490","25 Rue Georges Graff ","Lotissements/maisons pavillonnaires"," 2"
"491","14 Rue Guy de Maupassant ","Lotissements/maisons pavillonnaires"," 2"
"492","6 Rue Henri Douillot ","Lotissements/maisons pavillonnaires"," 2"
"493","41 Rue Jean Jaurès *","Lotissements/maisons pavillonnaires"," 2"
"494","1 Rue Jean Jaurès ","Immeubles"," 2"
"495","9 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"496","11 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"497","13 Rue Jean Jaurès ","Maisons de bourg"," 2"
"498","14 Rue Jean Jaurès ","Immeubles"," 2"
"499","16 Rue Jean Jaurès ","Immeubles"," 2"
"500","24 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"501","26 Rue Jean Jaurès ","Maisons de bourg"," 2"
"502","27 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"503","28 Rue Jean Jaurès ","Maisons de bourg"," 2"
"504","34 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"505","37 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"506","40 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"507","42 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"508","47 Rue Jean Jaurès ","Maisons de bourg"," 2"
"509","53 Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"510","57 Rue Jean Jaurès ","Maisons de bourg"," 2"
"511","61 Rue Jean Jaurès ","Maisons de bourg"," 2"
"512","24bis Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"513","9bis Rue Jean Jaurès ","Lotissements/maisons pavillonnaires"," 2"
"514","9ter Rue Jean Jaurès ","Immeubles"," 2"
"515","29 Rue Jules Guesde ","Architecture administrative - équipements publics","2"
"516","60 Rue Jules Guesde ","Immeubles"," 2"
"517","5 Rue Jules Lelong ","Lotissements/maisons pavillonnaires"," 2"
"518","6 Rue Jules Lelong ","Lotissements/maisons pavillonnaires"," 2"
"519","7 Rue Jules Lelong ","Lotissements/maisons pavillonnaires"," 2"
"520","8 Rue Jules Lelong ","Lotissements/maisons pavillonnaires"," 2"
"521","9 Rue Jules Lelong ","Lotissements/maisons pavillonnaires"," 2"
"522","10 Rue Jules Lelong ","Lotissements/maisons pavillonnaires"," 2"
"523","11 Rue Jules Lelong ","Lotissements/maisons pavillonnaires"," 2"
"524","14 Rue Jules Lelong ","Maisons de bourg"," 2"
"525","15 Rue Jules Lelong ","Maisons de bourg"," 2"
"526","21 Rue Jules Lelong ","Maisons de bourg"," 2"
"527","3 Rue Jules Lelong","Lotissements/maisons pavillonnaires"," 2"
"528","4 Rue Jules Lelong","Lotissements/maisons pavillonnaires"," 2"
"529","18 rue Louis Auguste Blanqui ","Immeubles"," 2"
"530","94 Rue Louis Auguste Blanqui ","Lotissements/maisons pavillonnaires"," 2"
"531","140 Rue Louis Auguste Blanqui ","Architecture industrielle et ferroviaire"," 2"
"532","147 rue Louis Auguste Blanqui ","Lotissements/maisons pavillonnaires"," 3"
"533","148 rue Louis Auguste Blanqui ","Lotissements/maisons pavillonnaires"," 2"
"534","150 Rue Louis Auguste Blanqui ","Lotissements/maisons pavillonnaires"," 2"
"535","156 Rue Louis Auguste Blanqui ","Lotissements/maisons pavillonnaires"," 2"
"536","186 rue Louis Auguste Blanqui ","Lotissements/maisons pavillonnaires"," 2"
"537","238 Rue Louis Auguste Blanqui","Lotissements/maisons pavillonnaires"," 2"
"538","240 Rue Louis Auguste Blanqui","Lotissements/maisons pavillonnaires"," 2"
"539","242 Rue Louis Auguste Blanqui","Lotissements/maisons pavillonnaires"," 2"
"540","3 Rue Michelet ","Maisons de bourg"," 2"
"541","19 Rue Michelet","Lotissements/maisons pavillonnaires"," 2"
"542","21 Rue Michelet","Maisons de bourg"," 2"
"543","28 Rue Michelet","Maisons de bourg"," 2"
"544","29 Rue Michelet","Maisons de bourg"," 2"
"545","30 Rue Michelet","Maisons de bourg"," 2"
"546","31 Rue Michelet","Lotissements/maisons pavillonnaires"," 2"
"547","33 Rue Michelet","Lotissements/maisons pavillonnaires"," 2"
"548","35 Rue Michelet","Maisons de bourg"," 2"
"549","39 Rue Michelet","Maisons de bourg"," 2"
"550","43 Rue Michelet","Maisons de bourg"," 2"
"551","45 Rue Michelet","Maisons de bourg"," 2"
"552","48 Rue Michelet","Lotissements/maisons pavillonnaires"," 2"
"553","53 Rue Michelet","Maisons de bourg"," 2"
"554","57 Rue Michelet","Lotissements/maisons pavillonnaires"," 2"
"555","60 Rue Michelet","Immeubles"," 2"
"556","19bis Rue Michelet","Lotissements/maisons pavillonnaires"," 2"
"557","19ter Rue Michelet","Lotissements/maisons pavillonnaires"," 2"
"558","25bis Rue Michelet","Lotissements/maisons pavillonnaires"," 2"
"559","3bis Rue Michelet","Maisons de bourg"," 2"
"560","13 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"561","15 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"562","17 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"563","18 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"564","19 Rue Paul Vaillant-Couturier ","Architecture scolaire"," 3"
"565","20 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"566","22 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"567","24 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"568","25 Rue Paul Vaillant-Couturier ","Maisons de bourg"," 2"
"569","26 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"570","27 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"571","29 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"572","30 Rue Paul Vaillant-Couturier ","Architecture scolaire"," 3"
"573","31 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"574","33 Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"575","38 Rue Paul Vaillant-Couturier ","Maisons de bourg"," 2"
"576","4bis Rue Paul Vaillant-Couturier ","Lotissements/maisons pavillonnaires"," 2"
"577","6 Rue Philéas Collardeau ","Maisons de bourg"," 2"
"578","8 Rue Philéas Collardeau ","Maisons de bourg"," 2"
"579","10 Rue Philéas Collardeau ","Lotissements/maisons pavillonnaires"," 2"
"580","23 Rue Philéas Collardeau ","Lotissements/maisons pavillonnaires"," 2"
"581","24 Rue Philéas Collardeau ","Lotissements/maisons pavillonnaires"," 2"
"582","25 Rue Philéas Collardeau ","Lotissements/maisons pavillonnaires"," 2"
"583","22 Rue Raoul ","Lotissements/maisons pavillonnaires"," 2"
"584","2 Rue Roger Salengro ","Immeubles"," 2"
"585","4 Rue Roger Salengro ","Maisons de bourg"," 2"
"586","6 Rue Roger Salengro ","Maisons de bourg"," 2"
"587","14 Rue Roger Salengro ","Maisons de bourg"," 2"
"588","23 Rue Roger Salengro ","Equipements culturels"," 3"
"589","27 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"590","48 Rue Roger Salengro ","Equipement culturels"," 2"
"591","61 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"592","66 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"593","70 Rue Roger Salengro ","Immeubles"," 2"
"594","71 Rue Roger Salengro ","Maisons de bourg"," 2"
"595","89 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"596","94 Rue Roger Salengro ","Immeubles"," 2"
"597","100 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"598","102 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"599","104 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"600","106 Rue Roger Salengro ","Architecture scolaire"," 3"
"601","112 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"602","114 Rue Roger Salengro ","Lotissements/maisons pavillonnaires"," 2"
"603","120 Rue Roger Salengro ","Immeubles"," 2"
"604","8-12 Rue Roger Salengro ","Maisons de bourg"," 2"
"605","23bis Rue Roger Salengro ","Equipements culturels"," 2"
"606","11 Rue Saint-louis Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"607","12 Rue Saint-Louis Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"608","25 Rue Saint-Louis Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"609","42 Rue Saint-Louis Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"610","43 Rue Saint-louis Prolongée ","Lotissements/maisons pavillonnaires"," 2"
"611","4 Rue Yvonne ","Maisons de bourg"," 2"
"612","6 Rue Yvonne ","Lotissements/maisons pavillonnaires"," 2"
"613","7 Rue Yvonne ","Lotissements/maisons pavillonnaires"," 2"
"614","8 Rue Yvonne ","Maisons de bourg"," 2"
"615","9 Rue Yvonne ","Maisons de bourg"," 2"
"616","12 Rue Yvonne ","Maisons de bourg"," 2"
"617","13 Rue Yvonne ","Lotissements/maisons pavillonnaires"," 2"
"618","16 Rue Yvonne ","Immeubles"," 2"
"619","6bis Rue Yvonne ","Lotissements/maisons pavillonnaires"," 2"
"620","14 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"621","15 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"622","17 Rue Yvonne","Maisons de bourg"," 2"
"623","19 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"624","22 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"625","24 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"626","26 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"627","30 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"628","32 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"629","34 Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"630","36 Rue Yvonne","Immeubles"," 2"
"631","15bis Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"632","19bis Rue Yvonne","Lotissements/maisons pavillonnaires"," 2"
"633","cité)","Edifices du culte"," 2"
"634","2 Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"635","3 Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"636","4 Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"637","6 Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"638","7 Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"639","9 Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"640","18 Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"641","1bis Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"642","4bis Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"643","bis3 Villa Carnot ","Lotissements/maisons pavillonnaires"," 2"
"644","4 Villa du Breuil ","Maisons de bourg"," 2"
"645","5 Villa du Breuil ","Lotissements/maisons pavillonnaires"," 2"
"646","6 Villa du Breuil ","Lotissements/maisons pavillonnaires"," 2"
"647","2 Villa Gabriel Seailles ","Immeubles"," 2"
"648","3 Villa Gabriel Seailles ","Lotissements/maisons pavillonnaires"," 2"
"649","7 Villa Gabriel Seailles ","Lotissements/maisons pavillonnaires"," 2"
"650","8 Villa Gabriel Seailles ","Lotissements/maisons pavillonnaires"," 2"
"651","14 Villa Gabriel Seailles ","Lotissements/maisons pavillonnaires"," 2"
"652","15 Villa Gabriel Seailles ","Lotissements/maisons pavillonnaires"," 2"
"653","16 Villa Gabriel Seailles ","Lotissements/maisons pavillonnaires"," 2"
"654","3 Villa Parmentier ","Lotissements/maisons pavillonnaires"," 2"
"655","5 Villa Parmentier ","Lotissements/maisons pavillonnaires"," 2"
"656","6 Villa Parmentier ","Lotissements/maisons pavillonnaires"," 2"
"657","7 Villa Parmentier ","Lotissements/maisons pavillonnaires"," 2"
"658","7 Villa Thorel ","Lotissements/maisons pavillonnaires"," 2"
"659","9 Villa Thorel ","Lotissements/maisons pavillonnaires"," 2"
